ID, Company Name, Category, Country, Email, Phone, Website
1,AITEM LAIKA,,,info-laika@aitemsolutions.com,0039 3405258092,https://laika.aitemsolutions.com/home
2,Albert Waeschle,,,john@albertwaeschle.com,,https://www.aw-online.com/
3,Anaequip-Vet UK,,,support@anaequip.com,01743 891140,https://www.anaequip.com
4,Anbio Technology,,,info@anbio.com,+86 13599 531984,https://www.anbio.com
5,Andersen Sterilisers,,,uk@anderseneurope.com,01255428328,https://www.anderseneurope.com/
6,Animal Behaviour and Training Council,,,info@abtc.org.uk,,https://www.abtc.org.uk
7,Animal Cancer Trust,,,hello@actcharity.uk,07376 213733,https://www.animalcancertrustcharity.co.uk
8,Antech Diagnostics,,,salesuk@antechmail.com,08082 583536,https://www.antechdiagnostics.co.uk/
9,AVID MicroChips & PETtrac Database,,,sales@avidplc.com,01273408720,https://www.avidplc.com
10,Biomed Central,,,sebastian.jaehne@springernature.com;,,https://www.biomedcentral.com/
11,Bova Specials UK Ltd,,,office@bova.co.uk,,https://www.bova.vet
12,British Veterinary Union in Unite,,,,,
13,BSAVA,,,administration@bsava.com,01452 726700,https://www.bsava.com
14,BSAVA Alba,,,congress@bsava.com,01452 726720,https://www.bsavaalba.com
15,BSAVA Bookstore,,,publications@bsava.com,01452 726700,https://www.bsava.com
16,Burgess Pet Care,,,consumercare@burgesspetcare.co.uk,0800413969,https://www.burgesspetcare.com/
17,Burtons Veterinary Equipment,,,info@burtons.uk.com,01622 834362,https://www.burtonsveterinary.com
18,CABI,,,marketing@cabi.org,+44 (0) 1491 832111,https://www.cabidigitallibrary.org/
19,Celtic SMR Ltd,,,sales@celticsmr.co.uk,01646 603150,https://www.celticsmr.co.uk/
20,Certus Biomedical,,,contact@certusbiomed.com,,https://www.certusbiomed.com
21,Clarius Mobile Health Europe Ltd,,,,,
22,Clark Dental Veterinary,,,info@clarkdentalsales.co.uk,01270 613750,https://www.clarkdentalveterinary.co.uk/
23,Dignipets,,,support@dignipets.co.uk,01785 335340,https://www.dignipetspartners.co.uk
24,Dog Friendly Clinic,,,dogfriendlyclinic@dogstrust.org.uk,,https://www.dogfriendlyclinic.org.uk
25,Eickemeyer Veterinary Equipment Ltd,,,info@eickemeyer.co.uk,0208 891 2007,http://www.eickemeyer.co.uk
26,Elanco UK AH,,,ElancoUK@elanco.com,01256353131,https://my.elanco.com/en_gb
27,elearning.vet,,,hello@elearning.vet,,https://www.elearning.vet
28,Enalees,,,office.uk@enalees.com,01609 635090,https://www.enalees.com/en/
29,European School for Advanced Veterinary Studies,,,,,
30,Federation of Independent Veterinary Practices,,,enquiries@fivp.org.uk,03301 239351,https://fivp.org.uk/
31,Forte Healthcare Ltd (UK),,,enquiries@fortehealthcare.com,01 292 800013,https://www.fortehealthcare.com/
32,Freelance Surgical,,,orders@freelance-veterinary.co.uk,01934864280,https://www.freelance-veterinary.co.uk
33,Harper Adams University,,,admissions@harper-adams.ac.uk,0300 131 3950,https://www.harper-adams.ac.uk
34,Hill's Pet Nutrition,,,https://www.hillsvet.co.uk/contact-us,UK-0800 282 438 / Ireland-1800 626 002,http://www.hillsvet.co.uk/
35,HORIBA,,,07825 370971,,https://www.horiba.com/gbr/
36,HT Vista,,,support@htbioimaging.com,02039961595,https://www.ht-vet.com
37,IDEXX,,,0203 7887 508,,https://www.idexx.co.uk
38,iM3 | The Global Name in Veterinary Dentistry,,,+44 (0) 1 423 224 297,sales@im3dental.com,https://im3vet.co.uk/
39,IMS Euro,,,info@imseuro.co.uk,0161 420 1440,https://www.imseuro.co.uk
40,IMV Imaging,,,info@imv-imaging.com,01506 460023,https://www.imv-imaging.com/en/
41,Infection Prevention Society,,,membership@ips.uk.net,+44 020 8142 5732,https://www.ips.uk.net/
42,J.A.K Marketing,,,sales@jakmarketing.co.uk,01347878697,https://www.jakmarketing.co.uk/
43,KARL STORZ Endoscopy (UK) Ltd,,,vetsales-uk@karlstorz.com,+447513824975,https://www.karlstorz.com
44,Kitty Kollar,,,info@kittykollar.com,7147148581,https://www.kittykollar.com
45,KVP International,,,9093081028,,https://www.kvpvet.com
46,Lancashire Wildlife Trust,,,james@working4wildlife.org,01752249758,https://www.lancswt.org.uk
47,Lintbells Veterinary - Home of YuMOVE ADVANCE 360,,,vet@lintbells.com,,https://www.lintbellsvet.com/
48,Luna & Milo,,,info@lunaandmilo.com,+34 662141972,https://lunaandmilo.com/
49,MAI Animal Health,,,sales.uk@maianimalhealth.com,01225 791184,https://www.maianimalhealth.com/
50,Mars Petcare,,,,,https://www.mars.com/our-brands/petcare
51,MIL Collections,,,davids@milcollections.co.uk,01872 713 578,https://www.milcollections.co.uk
52,MIS Healthcare,,,info@mishealthcare.co.uk,,https://www.mishealthcare.co.uk
53,Northwest Referrals,,,info@northwestreferrals.co.uk,01942 242001,https://www.northwestrefferals.co.uk
54,Nutravet,,,info@nutravet.co.uk,03330384284,https://nutravet.com/
55,NVS Group and NationWide Laboratories,,,,,
56,Omni Pet,,,woof@omni.pet,+44 204 538 4509,https://www.omni.pet
57,Orthomed,,,info@orthomed.co.uk,0845 045 0259,https://www.orthomed.co.uk/
58,Orthopaedic Vet,,,hello@orthopaedicvet.co.uk,01335 212255,https://orthopaedicvet.co.uk/
59,Peninsula Vet Referrals,,,referrals@penvetreferrals.com,0151 3517 999,https://www.penvetreferrals.com
60,Pet Blood Bank UK,,,info@petbloodbankuk.org,01509 232 222,https://www.petbloodbankuk.org/
61,Petcover,,,info@petcover.uk.com,01444 708850,https://petcover.uk.com/
62,Petplan,,,vetline@petplan.co.uk,03301021606,https://www.petplanvet.co.uk
63,Pets + Vets Group,,,+61 0893619044,,https://petsandvetswa.com.au/
64,PG Mutual,,,enquiries@pgmutual.co.uk,0800 146307,https://portal.pgmutual.co.uk/quote?DC=bsava
65,Pinmoore Animal Laboratory Services Limited,,,sales@palsvetlab.co.uk,01829 781855,https://www.palsvetlab.co.uk/
66,Pioneer Veterinary Products Ltd,,,sales@pioneervet.co.uk,01304 831831,https://www.pioneervet.co.uk
67,Podoblock,,,info@podoblock.com,0031508200257,https://www.podoblock.com/
68,Protexin Veterinary,,,info@protexin.com,01460 243230,https://www.protexinvet.com/
69,Provet Cloud,,,provetsales@nordhealth.com,,https://www.provet.cloud/
70,Purina Vet Centre,,,vettechline@purina.nestle.com,07557170620,https://vetcentre.purina.co.uk/
71,QMS Veterinary,,,info@qms-med.com,01981433117,https://www.qms-vet.com
72,Raman Pharma,,,sales@ramanpharma.com,01252 260 460,https://www.ramanpharma.com
73,RCVS,,,events@rcvs.org.uk,02072020773,https://www.rcvs.org.uk
74,Register of Animal Musculoskeletal Practitioners (RAMP),,,info@rampregister.org,,https://www.rampregister.org
75,Rothband,,,vetsales@rothband.com,,https://xray4vets.com/
76,Royal Canin,,,enquire.gbr@royalcanin.com,0800717800,https://www.royalcanin.com/uk
77,Sanondaf UK,,,support@sanondaf.co.uk,01236 324 364,https://www.sanondaf.co.uk/
78,Sarah Brown Cards,,,sarah@sarahbrowncards.com,01986 893953,https://www.sarahbrowncards.com/
79,SEVC,,,secre@sevc.info,,https://www.sevc.info
80,Shire,,,info@shireinsurance.co.uk,01827 306 532,https://www.shirevet.co.uk/
81,StreetVet,,,info@streetvet.org.uk,,https://www.streetvet.org.uk/
82,Summit Veterinary Pharmaceuticals Ltd,,,info@svprx.co.uk,0800 440 2471,https://www.summitvetpharma.co.uk
83,Suzhou Runphy Medical Instrument Co.,Ltd,,,info@runphymedical.com,0086 -15962359657,https://www.runphymedical.com/
84,TECHNIK Veterinary,,,01952 885555,,https://www.technik-veterinary.com/
85,Tempus Recruitment,,,info@tempus-recruitment.com,01626 249096,https://tempusveterinaryrecruitment.co.uk/
86,The Bella Moss Foundation,,,jillmoss@thebellamossfoundation.co.uk,,https://www.thebellamossfoundation.com/
87,The Links Group,,,info@thelinksgroup.org.uk,N/A,https://thelinksgroup.org.uk/
88,The Pet Euthanasia People Ltd,,,hello@thepetpeople.vip,0161 399 4684,https://www.thepetpeople.vip
89,UK-Vet,,,Shabnam.ali@markallengroup.com,,https://www.ukvethub.com
90,University of Liverpool VPU,,,vpuoffice@liverpool.ac.uk,0151 794 6016,https://www.liverpool.ac.uk/vets/cpd/
91,Upskill.vet,,,info@upskill.vet,+421 902222492,https://upskill.vet/
92,VCMS,,,enquiries@vetmediation.co.uk,03450405834,http://www.vetmediation.co.uk
93,Veheri,,,info@veheri.com,+49 (0)7248 9345933,http://www.veheri.com/
94,Vet Times,,,contactus@vbd.co.uk,01733383539,https://www.vettimes.co.uk/
95,VETbytes,,,zoecoker@vetbytes.co.uk,07973 430166,https://vetbytes.co.uk/
96,Veterinary Christian Fellowship,,,,,
97,Veterinary Defence Society,,,admin@thevds.co.uk,01565652737,https://www.thevds.co.uk/
98,Veterinary Equipment Technical Services,,,happytohelp@vetsltd.uk,01535 536502,https://www.vetsltd.uk
99,Veterinary History Society,,,robin@bone.net,07869659079,https://veterinaryhistorysociety.org.uk
100,Veterinary Information Network (VIN),,,info@vin.com,+44 01452 226154,http://www.vin.com
101,Veterinary Medicines Directorate,,,postmaster@vmd.gov.uk,,https://www.gov.uk/vmd
102,Veterinary Specialist Advice (VSA),,,ask@veterinaryspecialistadvice.com,0044 (0)7885431219,https://veterinaryspecialistadvice.com
103,VetIT,,,,,
104,Vetlife,,,info@vetlife.org.uk,020 7908 6385,https://www.vetlife.org.uk/
105,VetPlus,,,customer.services@vetplus.co.uk,01253 797400,https://www.vetplus.co.uk
106,Vets for Pets,,,Partnership@vets4pets.com,0800 328 4204,https://www.vets4petscareers.com
107,Vygon Vet,,,veterinary@vygon.co.uk,01793 748951,https://www.vygonvet.co.uk/
108,Waggel,,,hello@waggel.co.uk,,https://www.waggel.co.uk/
109,Wisepress BV,,,00442087151812,,
110,Woodley Equipment,,,sales@woodleyequipment.com,01204669033,https://www.woodleyequipment.com/
111,Worldwide Veterinary Service,,,info@wvs.org.uk,01725 557225,https://wvs.org.uk/
112,ZYTCA Ltd,,,info@zytca.com,07791720250,https://www.zytca.com
