ID, Company Name, Category, Country, Email, Phone, Website
1,Abingdon Veterinary Surgery,,UK,reception@abingdonvets.co.uk,020 7937 8215,www.abingdonvets.co.uk
2,Arthur Lodge Veterinary Surgery,,UK,reception@arthurlodgevet.co.uk,01403 252 964,www.arthurlodgevet.co.uk
3,Ash Barn Veterinary Surgery,,UK,vets@arthurlodge.co.uk,01306 713177,www.arthurlodgevet.co.uk
4,Blackheath Veterinary Surgery,,UK,reception@blackheathvets.co.uk,020 8858 5151,www.blackheathvets.co.uk
5,Briar House Veterinary Surgery,,UK,briarhouse@briarhousevets.co.uk,018 4386 3395,www.briarhousevets.co.uk
6,Corner Veterinary Surgery,,UK,vet@thecornervet.co.uk,018 4386 3395,www.thecornervet.co.uk
7,Croydon Veterinary Surgery,,UK,reception@croydonvets.co.uk,020 8655 0235,www.croydonvets.co.uk
8,Downslink Veterinary Surgery,,UK,reception@arthurlodgevet.co.uk,01403 732219,www.arthurlodgevet.co.uk
9,Grove Park Veterinary Surgery,,UK,reception@groveparkvets.co.uk,020 8138 9198,www.groveparkvetclinic.co.uk
10,Kitten To Cat,,UK,reception@kittentocat.com,020 8940 0014,www.kittentocat.com
11,Lakeview Veterinary Surgery,,UK,reception@lakeviewvets.co.uk,01304 375571,www.lakeviewvets.co.uk
12,Manor Veterinary Surgery,,UK,reception@themanorvets.co.uk,01634 407777,www.themanorvets.co.uk
13,Mitcham Veterinary Surgery,,UK,reception@mitchamvets.co.uk,020 8640 5766,www.mitchamvets.co.uk
14,Mayow Veterinary Surgery,,UK,enquiries@mayowvets.co.uk,020 8659 4496,www.mayowvets.co.uk
15,Mead Veterinary Surgery,,UK,reception@meadvetscentre.co.uk,013 2222 3311,www.meadvetscentre.co.uk
16,Parish Lane Veterinary Surgery,,UK,reception@parishlanevets.co.uk,0208 778 7789,www.parishlanevets.co.uk
17,Pinebank Veterinary Surgery,,UK,reception@pinebankvet.co.uk,016 2275 5098,www.pinebankvet.co.uk
18,Streatham Veterinary Surgery,,UK,reception@streathamhillvets.co.uk,020 8674 3525,www.streathamhillvets.co.uk
19,The Animal Clinic Surgery,,UK,reception@animal-clinic.co.uk,020 8319 3033,www.animal-clinic.co.uk
20,West Wickham Veterinary Surgery,,UK,reception@westwickhamvet.co.uk,020 3143 6688,www.westwickhamvets.co.uk
21,Wimbledon Veterinary Surgery,,UK,reception@wimbledonvets.co.uk,020 8176 6700,www.wimbledonvets.co.uk
22,Yew Tree Veterinary Surgery,,UK,info@cranleighvets.co.uk,014 8327 5665,www.cranleighvets.co.uk
