ID, Company Name
1,ACD Projects Ltd
2,ACPAT
3,Adaptix Ltd
4,ADM Protexin Limited
5,Advanced Anaesthesia  Specialists UK Ltd
6,Aeolus Vet UK
7,Agria Pet Insurance Ltd
8,AH UK ANIMAL HEALTH (PVT) LTD
9,AH UK Animal Health (PVT) Ltd
10,Aim Bio Diagnostics
11,Albert Waeschle Limited
12,Anaequip-Vet UK
13,Anikin Ltd
14,Animal Orthopaedics Ltd - Veterinary Orthopaedics
15,ANIMAL SPAY AND NEUTER INTERNATIONAL
16,Animalcare UK
17,Antech Diagnostics Ltd
18,Antigen Technology Co.,Ltd
19,Aohua
20,ARC Microtech
21,Ashish Life Science PVT Ltd
22,Aventix Animal Health Corporation
23,AVID Plc
24,Axel's Elixir
25,B.Braun VetCare
26,Baxendale Employee Ownership
27,Bella & Duke
28,Bella & Duke
29,Bimini Animal Health
30,Bioguard
31,BIZVET
32,BMV ANIMAL Technology Co.,Ltd
33,Boehringer Ingelheim Animal Health UK Ltd
34,BOVA UK
35,Braemar Finance
36,Bray Group Ltd
37,BreathEazy Limited
38,British Small Animal Veterinary Association
39,Burgess Group PLC
40,Burtons Veterinary
41,Butternut Box
42,Byotrol Technology Ltd
43,Canine Hydrotherapy Association
44,CASCO Pet
45,Cats Protection Trustee Limited
46,Celtic SMR Ltd
47,Certus Biomed
48,Cetra by AnatomyStuff
49,CF Pharma Ltd
50,Chanelle Vet UK Ltd
51,Chase de Vere Independent Financial Advisers Ltd
52,China Chamber of Commerce for Import Export of Medicines & Health Products
53,Clark Dental Veterinary
54,CO.VET
55,Companion Animal Health
56,Copper Hawk Limited
57,Creature Comforts
58,Cubex LLC
59,Debt Collection Services UK Ltd
60,Dechra Veterinary Products
61,Delta Biomarkers
62,Digital Practice
63,DNA Vetcare
64,DYMIND
65,EDRA
66,Eickemeyer Veterinary Equipment Ltd
67,Elanco Animal Health
68,ENALEES SAS
69,Equine Blades Direct Limited
70,ESAVS
71,ESPECIALIZACION VETERINARY SL
72,Farmina Pet Foods
73,Fauna & Flora
74,Fear Free LLC
75,Forte Healthcare Ltd
76,Fowler UK
77,G9 Chemicals
78,GENIA GROUP
79,Genrui Biotech Inc
80,Glenbio LTD
81,Global Health Environments Ltd
82,Government Veterinary Services
83,GV Careers Ltd
84,H&O Equipments
85,Hanil Dental
86,Hasvet Medikal AS
87,Hazlewoods Pharmacy Accountants
88,HelloFresh
89,HelloFresh
90,HEPHO MEDICAL CO.,LTD
91,Hilditch Group Ltd
92,Hill's Pet Nutrition
93,Horiba UK Limited
94,HT Vista Ltd
95,HW Andersen Products
96,i-SENS, Inc
97,Identicare Limited
98,IDEXX Laboratories Ltd
99,iM3 Dental Ltd
100,Imotek
101,Improve International
102,IMS Euro
103,IMV Imaging
104,Infusion Concepts Ltd
105,IVC Evidensia
106,J.A.K Marketing
107,Jefferson Sheard Architects Ltd
108,JORGEN KRUUSE A/S
109,Just Digital/ Paw Prints
110,K-MED Ltd
111,KARL STORZ Endoscopy (UK) Ltd
112,KH Medical Co.,Ltd
113,KRKA UK LTD
114,KVP EU LTD
115,LABOKLIN Labor fur Klinische Diagnostik GmbH & Co. KG
116,LAFEBER COMPANY
117,Lick Sleeve
118,Linnaeus Veterinary Limited
119,Lloyd & Cowan Veterinary Recruitment
120,Luna & Milo
121,Lupa - AI POWERED PETCARE
122,Mahr Impex UK Ltd
123,MARRO
124,MedFluid Co Ltd
125,Medical Iventi S A
126,MEDICAL PET SHIRTS EUROPE BV
127,Medivet
128,Merlin Telecommunications Ltd
129,Merlin Vet Export Ltd
130,MetaDx Lab
131,MiLab Diagnostics
132,Millpledge
133,MIS Healthcare
134,Molnlycke Healthcare
135,MP Labo
136,MSD Animal Health
137,MSVC Ltd
138,MWI Animal Health
139,National Office of Animal Health Ltd
140,National Veterinary Services Ltd
141,Neovet Dx
142,Nestlé Purina Petcare Europe
143,Norbrook Laboratories Ltd
144,Nupsala Ltd
145,NutraVet
146,NutraVet
147,Orthomed | Infiniti Medical
148,OurPetsLife
149,Pain Medical Ltd
150,Paw Acquisition I Corp
151,Pennard Vets
152,Pet Blood Bank UK
153,Pet Proactive Limited
154,Pet Remedy Limited
155,Pet-ID Microchips Ltd
156,Petplan
157,Pets Abroad UK
158,Pets Choice
159,PetsApp Ltd
160,Phoneta Limited
161,Photon Therapeutics Limited
162,Pioneer Veterinary Products
163,PitPatpet Ltd
164,PLH Medical Ltd
165,PNH Professional Furniture & Innovation, Lda
166,Pretta
167,Probo Medical Ltd
168,ProfDoc
169,Professional Practice Services
170,Provet Cloud (UK) Ltd
171,Purina Pro Plan
172,Purovets
173,Quality Medical Services Ltd
174,Quill MAI Ltd
175,Raman Pharma Limited
176,Rita Leibinger Medical
177,Rothband
178,Royal (Dick) School of Veterinary Studies
179,Royal Canin
180,Royal Canin
181,Royal College of Veterinary Surgeons
182,Royal Veterinary College
183,RWD Life Science
184,Samaxia
185,Sarah Brown Cards Ltd
186,ScribbleVet
187,Scrubs UK
188,Shenzen Mindray Animal Medical
189,Shenzhen HugeMed Medical Technical Development Co.,LTD
190,Shire Veterinary Insurance and Finance Brokers
191,Shor-Line Ltd
192,SIUI
193,Stericycle
194,Summit Veterinary Pharmaceuticals Ltd.
195,SUPREME PETFOODS LIMITED
196,Supreme Search Specialists
197,SYFM Co Ltd
198,Technik Technology Ltd
199,Teleos Systems Ltd
200,Tempus Recruitment
201,The Pet Vet / The Vet
202,The Vet Channel
203,The Vet Service
204,The Veterinary Pathology Group
205,The Webinar Vet
206,The Wildlife Trusts
207,TOOTOO
208,TrustBio Corporation
209,TVM UK Ltd
210,UCLan - Remerge
211,UK Pet Food
212,Unite the Union
213,Unity Trust Bank
214,University of Liverpool
215,Valsoft Corporation Inc. DBA Asteris
216,VBS Direct Service Ltd
217,Veccs /Eveccs
218,Vet Defence Society Ltd
