ID, Company Name, Category, Country, Email, Phone, Website
1,Health&Light Sh.p.k,,Albania,info@healthlight-al.com,+355 422 29850,
2,Sarl Electron Medical Algerie,,Algeria,nabil.electron@gmail.com; electron.rabie@gmail.com,+213 661711992,
3,MEDLAB SERVIÇOS E MANUTENÇÃO DE EQUIPAMENTOS,,Angola,adm@medlabangola.com,+244 939 66 01 98,https://medlabangola.com
4,Cicas S. R. L.,,Argentina,cicas@fibertel.com.ar,+54 11 4373 5362,
5,MedTechService,,Armenia,medtechservice@mail.ru,+37 410533650,
6,C.R. Kennedy,,Australia,http://www.medical.crkennedy.com.au,+61 3 9823 1577,
7,Richard Wolf Austria Ges.m.b.H.,,Austria,austria@richard-wolf.com,+43 1 405 51 51,https://www.richard-wolf.at
8,Österreich Gebiet Nord,,Austria,alexander.kovar@richard-wolf.com,+43 664 25 66 023,
9,Österreich Gebiet Süd,,Austria,alois.strommer@richard-wolf.com,+43 664 307 55 98,
10,Österreich Gebiet West,,Austria,thea.kreuzer@richard-wolf.com,+43 664 972 39 18,
11,spineMed Ges.m.b.H,,Austria,office@spinemed.at,+43 1 47 99 281,www.spinemed.at
12,Nupo Osteosintez Baku,,Azerbaijan,namik.sintez@mail.ru,+994 12 441 08 56,
13,Yousuf Mahmood Husain,,Bahrain,umesh@ymh.com.bh,+973 276 176,http://www.ymh.com.bh
14,Richard Wolf India Private Limited,,India,india@richard-wolf.com,+91 124 4315 700,
15,NEWM Limited,,Belarus,mail@newm.eu,+353 (89) 600 0945,
16,NEWM LLC,,Belarus,info@newm.eu,+375 17 3223434,
17,Richard Wolf Belgium NV,,Belgium,customerservice-belgium@richard-wolf.com,+32 9 280 81 00,https://www.richard-wolf.be
18,Sylvie Bayart,,Belgium,customer.service@richard-wolf.be,+32 (0) 487 48 84 00,
19,Ludo Gysen,,Belgium,customer.service@richard-wolf.be,+32 (0)498 91 63 31,
20,Monique Pype,,Belgium,customer.service@richard-wolf.be,+32 (0)471 07 74 67,
21,Brenda De Burchgraeve,,Belgium,customer.service@richard-wolf.be,+32 (0)487 82 85 25,
22,Richard Wolf India Private Limited,,India,india@richard-wolf.com,+91 124 4315 700,
23,Biotecno Ltda,,Bolivia,comex@biotecno.com.bo,+591 3355 6750,http://www.biotecno.com.bo
24,Alfa-Med d.o.o.,,Bosnia and Herzegovina,alfa@alfa-med.com,+387 34 358 011,http://www.alfa-med.com
25,Richard Wolf do Brasil Equipamentos Medicinais Ltda.,,Brazil,brasil@richard-wolf.com,+55 11 2338-6241,https://richard-wolf.com
26,Agis Medical Produtos Hospitalares Ltda,,Brazil,web@agismedical.com.br,+55 313535-1717,http://www.agismedical.com.br
27,Endotech Produtos Medicos,,Brazil,contato@endotech.com.br,+55 513388-1577,https://endotech.com.br/site/
28,E Tamussino & Cia Ltda,,Brazil,wolf.cristinetourinho@tamussino.com.br,+55 11 3861-6600,https://www.tamussino.com.br/pt/
29,MaltaCare Distribuidora LTDA,,Brazil,alexandre.malta@maltacare.com.br,+55 67 99981 9579,MaltaCare Distribuidora LTDA (@maltacare.cg) • Instagram
30,Medical Technics Engineering Ltd.,,Bulgaria,konov@mte-bg.com,+359 2 462 71 24,
31,Mees Medical Equipment,,Cambodia,mees@mees.asia,+855 12 858 734,http://www.mees.asia
32,Vantage Endoscopy,,Canada,tysonh@amtsurgical.com,+1 866 677 4121,http://www.vantageendoscopy.com
33,Biomedical Cayman,,Cayman Islands,vivinemoh@gmail.com,+1 345 916 3336,
34,Alta Tecnologia Medica S.A.,,Chile,info@atm.cl,+56 2 335 1 810,http://www.atm.cl
35,Hospital Studio SpA,,Chile,info@hospitalstudio.cl,+56 2 2371 0701,https://www.hospitalstudio.cl/
36,Richard Wolf Medical Device Manufacturing (Taicang) Co.,,China,shanghai@richard-wolf.com,+86 512 82770558,http://www.richard-wolf.cn
37,Beijing Baohui Medical Technology Co.,,China,BAOHUI2023@sina.com,+86 150 1033 6535,
38,Beijing UroMed Science & Technology  Co.,,China,manager@uromed.com.cn,+86 10 5360 9537,
39,Beijing Xinjing Medical Device Co.,,China,bjxj1234@sina.cn,+86 177 9782 4669,
40,Beijing Yicheng Xinyuan Economic and Trade Co.,,China,alicehuang@zyhk.com.cn,+86 10 6246 0291,
41,Chongqing Gaomeiyi Technology Co.,,China,CQGMY023@163.com,+86 23 63712166,
42,Guangzhou Huasheng Lida Instrument Co.,,China,gzhstcii@163.com,+86 20 3763-1735/ 1954,
43,Hangzhou Din Lun Trade Co.,,China,tingxu117@vip.163.com,+86 571 858601-51/ 52/ 53,
44,Hubei Humanwell Kangborui Pharmaceutical Co. Ltd,,China,dayong-8000@163.com,+86 027 8574 5413,
45,Jiangsu Ustar Electronic Technology Co.,,China,Degaoyl@163.com,+86 25 85312768,
46,Jiangxi Langjing Science and Technology Co.,,China,tingxu117@vip.163.com,+86 0791 83838683,
47,Liaoning Longwei Medical Equipment Co.,,China,Chenliyuan@lwmed.com.cn,+86 451 5106 8124,
48,Shanghai DECO Medical Equipment Co.,,China,Degaoyl@163.com,+86 021 68361798,
49,Shanghai DuoEr Medical Equipment Co.,,China,simonwt@126.com,+86 21 62495515,
50,Shanghai Zhixin Medical Equipment Co.,,China,liwei8904@163.com,+1 3599966403,
51,Sichuan Zhongke Zhihui Health Management Group Co.,,China,sczkzh@sina.com,+86 135 5882 2383,
52,Yunnan Zhuoyu Medical Technology Co.,,China,yunnanzhuoyu@163.com,+86 871 65316822,
53,Zhong Nan Hao Hui(Beijing)Commercial Co.,,China,xiufang.zhao@znhhmedical.com,+86 10 84842568,
54,Zhongshan City Changjiutian Medical Equipment Co.,,China,changjiutian@yeah.net,+86 760 8870 8087,
55,Zhongyihesheng Medical Equipment (Tianjin) Co.,,China,arina.wang@zyhs.net.cn,+86 178 2205 3010,
56,Meditec SA,,Colombia,klausvonappen@meditecsa.com,+571 338 1177,http://www.meditecsa.com
57,Multiservicios Electromedicos S.A.,,Costa Rica,ggarita@me.co.cr,+506 2 527 07 27,http://www.me.co.cr
58,Salus Med,,Croatia,dinko.klepac@salusmed.hr,+385 1 3094 950,
59,Mederi N.V.,,Cuba,frank.curiel@mederinv.com,+297 582 3099,http://www.mederinv.com
60,Scientronics,,Cyprus,info@scientronics.com,+357 22 467880,
61,Scientronics Ltd,,Cyprus,info@scientronics.com,+357 22467880,https://www.scientronics.com
62,MGVIVA a.s,,Czech Republic,mgviva@mgviva.cz,+420 728 396 516,https://medicina.mgviva.cz/
63,Kebomed A/S,,Denmark,info@kebomed.dk,+45 36 398 080,http://www.kebomed.dk
64,Bioelectronico Blanco Blancosa S.A.,,Ecuador,elva.ontaneda@biogrupo.com,+593 043705000,https://www.blanco.com.ec
65,Gesca,,Egypt,baher.amin@gesca.com,+20 2 23919696,http://www.gesca.com
66,AB Medical Group Estonia Ltd,,Estonia,,+372 6355 757,
67,Mediq Suomi Oy,,Finland,oskari.reiman@mediq.com,+358 40 538 3719,www.mediq.fi
68,Richard Wolf France S.A.R.L.,,France,commercial-france@richard-wolf.com,+33 3 26 87 02 89,https://www.richard-wolf.fr
69,Hospimed Georgia LTD,,Georgia,levan.ketsbaia@hospimed.ge,+995 322 2706519,
70,Kurt Semrau GmbH,,Germany,info@kurt-semrau.de,+49 7462 9463590,
71,RIWOspine GmbH,,Germany,info@riwospine.com,+49 7043 35-0,https://www.riwospine.com
72,Maximilian Antony,,Germany,maximilian.antony@richard-wolf.com,+49 172 1806792,
73,Harry Dür,,Germany,harry.duer@richard-wolf.com,+49 173 6205916,
74,Matthias Fröhlich,,Germany,matthias.froehlich@richard-wolf.com,+49 172 7296112,
75,Alexandra Grawinkel,,Germany,alexandra.grawinkel@richard-wolf.com,+49 173 3013049,
76,Enrico Hörchner,,Germany,enrico.hoerchner@richard-wolf.com,+49 172 4202033,
77,Kai-Uwe Horstmann,,Germany,kai-uwe.horstmann@richard-wolf.com,+49 152 09072013,
78,Armin Keller,,Germany,armin.keller@richard-wolf.com,+49 172 7249123,
79,Jens Laufer,,Germany,jens.laufer@richard-wolf.com,+49 172 7208964,
80,Bernd Müller,,Germany,bernd.mueller@richard-wolf.com,+49 172 7203451,
81,Markus Palzer,,Germany,markus.palzer@richard-wolf.com,+49 172 7351961,
82,Michael Sauer,,Germany,michael.sauer@richard-wolf.com,+49 172 4358285,
83,Jana Schieweck,,Germany,jana.schieweck@richard-wolf.com,+49 172 8334849,
84,Nicole Schult,,Germany,nicole.schult@richard-wolf.com,+49 173 2863164,
85,Walter Stekly,,Germany,walter.stekly@richard-wolf.com,+49 172 6116906,
86,Torsten Thiel,,Germany,torsten.thiel@richard-wolf.com,+49 172 7104420,
87,Norbert Wirges,,Germany,norbert.wirges@richard-wolf.com,+49 172 7206105,
88,Thorsten Zeller,,Germany,thorsten.zeller@richard-wolf.com,+49 1520 9058280,
89,Medizintechnik Steffen u. Co. GmbH,,Germany,fabian.steffen@steffen-mt.de,+49 160 96994551,http://steffen-medizintechnik.de
90,PAPAPOSTOLOU N. SA,,Greece,info@papapostolou.gr,+30 210 677 4700,
91,Jormar S.A.,,Guatemala,jmaquino@jormarsa.com,+502 2334 2509,https://www.jormarsa.com
92,MDP HONDURAS S.A de C.V,,Honduras,info@mdpmedical.com,+504 9990 1752,http://www.mdpmedical.com
93,Richard Wolf Hong Kong Ltd.,,Hong Kong SAR of China,hongkong@richard-wolf.com,+852 2187 3446,http:/www.richard-wolf.cn
94,Da Hon Enterprises Co.,,Hong Kong SAR of China,info@dahonhk.com,+852 27590638,
95,RB MED KFT,,Hungary,info@rb-med.hu,+36 1 262 6986,
96,Fastus ehf.,,Iceland,fastus@fastus.is,+354 5803 9000,http://www.fastus.is
97,Richard Wolf India Private Limited,,India,india@richard-wolf.com,+91 124 4315 700,
98,PT. Surgika Alkesindo,,Indonesia,jakarta@surgika.com,+62 21 4253 634,http://www.surgika.com
99,Arman Tandorost Co.,,Iran,atc@mavara.com,+98 21 664 13870,www.armantandorost.com
100,Aryan Tandorost Teb Co. Ltd.,,Iran,atcgroup.ir@gmail.com,+98 21 664 81000,
101,Al-Kamilya for Medical Equipment,,Iraq,info@Al-Kamilya.com,9.64752E+12,www.Al-Kamilya.com
102,Hospital Services Limited,,Ireland,sales@hsl.ie,+353 1 2950500,http://hsl.ie
103,Shani Tal Marketing Ltd.,,Israel,shanital@sahanital.co.il,+972 393 14177,
104,Movi spa,,Italy,marketing.w@movimed.it,+39 02 509 051,
105,Jamaica Hospital Supplies,,Jamaica,tmarch@jamhosp.com,+876 281 1173,
106,Richard Wolf K.K.,,Japan,japan@richard-wolf.com,+81 3 6459 3939,
107,NIPRO CORPORATION,,Japan,,+81 6 6373 0531,https://www.nipro.co.jp/
108,Sindian (Experia) Healthcare Systems Ltd. Co,,Jordan,mathamneh@experia.jo,+962 6 580 3380,www.experia.jo
109,MC-Barys LLP,,Kazakhstan,barysmk@gmail.com,+7 771 155 66 55,
110,MSM Medical Equipments Limited,,Kenya,info@msm.co.ke,+254 0115 970 543,https://www.msm.co.ke
111,KosovaMed sh.p.k.,,Kosovo,kastriot.asllani@kosovamed-ks.com,+377 44 509 096,http://www.kosovamed-ks.com
112,Century Scientific & Equipment Company W.L.L,,Kuwait,asif.mohammed@centuryq8.com,+965 2246 4154,www.centuryq8.com
113,Interlising Ltd.,,Kyrgyzstan,intmed@mail.ru,+996 775 97 12 22,
114,Sokdy Osoth Import-Export Co. Ltd,,Laos,duon14@yahoo.com,8.56206E+12,
115,Apva Med Ltd.,,Latvia,apvamed@apollo.lv,+371 462 36 82,
116,Sia Arbor Medical Korporacija,,Latvia,regina@arbor.lv,+371 676 201 26,
117,Samir S. Hani Establishment,,Lebanon,selim.h@samirhanigroup.com,+961 5 457 308,http://www.samirhanigroup.com
118,ROBIA-MED Medical Appliances,,Libya,dr_moas_gabroun@robia.net,+218 21 4778 220,
119,Uab Salmeda,,Lithuania,med@salmeda.lt,+370 5 272 9006,https://www.salmeda.lt
120,Meditec s.à.r.l.,,Luxembourg,meditec@meditec.lu,+352 369 7171,http://www.meditec.lu
121,Da Hon Enterprises Co.,,Hong Kong SAR of China,info@dahonhk.com,+852 27590638,
122,Avro Medical Sdn Bhd,,Malaysia,jakly@avromedical.com,+60 03 80628156,www.avromedical.com
123,Richard Wolf India Private Limited,,India,india@richard-wolf.com,+91 124 4315 700,
124,Pharma-Cos Ltd.,,Malta,info@pharma-cos.com,+356 2144 1977,
125,SCAR Société Caraibe d'Agence et de Representation,,Martinique,scar@outremer.com,+596 596 770 200,
126,PROXIMED ltd,,Mauritius,admin1@proximed.mu,+230 212 9437,https://proximed.mu
127,Dewimed S.A.,,Mexico,jromero@dewimed.com.mx,+52 55 5606 0777,http://www.dewimed.com.mx
128,Endochirurgie,,Moldova,info@endochirurgie.md,+373 22 232 133,
